branch,P_dBm,batch,lr,epochs,val_R,val_qany,val_qc,val_qs,source
no_ris_oma,5.0,128,0.0005,60,1.244885581970215,1.0,1.0,0.8680000014305115,noris_oma_P5
no_ris_oma,10.0,128,0.0005,60,1.8865828638076783,1.0,1.0,1.0,noris_oma_P10
no_ris_oma,15.0,128,0.0005,60,3.006259223937988,0.5100000019073486,0.5100000019073486,0.001,noris_oma_P15
no_ris_oma,20.0,128,0.0005,60,4.350916133880615,0.009000000037252903,0.003,0.007000000037252903,noris_oma_P20
no_ris_oma,25.0,128,0.0005,60,5.567659744262695,0.001,0.0,0.001,noris_oma_P25
ris_oma,5.0,64,0.0001,40,2.2509817237854004,1.0,1.0,0.05700000001490116,ris_oma_P5_b64_lr1e-4
ris_oma,10.0,64,0.0001,40,3.856372329711914,0.014,0.001,0.013,ris_oma_P10_b64_lr1e-4
ris_oma,15.0,64,0.0001,40,5.26302783203125,0.01,0.0,0.01,ris_oma_P15_b64_lr1e-4
ris_oma,20.0,64,0.0001,40,6.622746257781983,0.004,0.0,0.004,ris_oma_P20_b64_lr1e-4
ris_oma,25.0,64,0.0001,40,7.941506629943848,0.002,0.0,0.002,ris_oma_P25_b64_lr1e-4
