branch,P_dBm,batch,lr,epochs,val_R,val_qany,val_qc,val_qs,source
no_ris,5.0,128,0.0005,60,2.5492507972717284,0.9549999995231628,0.7049999971389771,0.9220000004768372,noris_P5
no_ris,10.0,128,0.0005,60,4.32199458694458,0.4049999992847443,0.18099999952316284,0.3949999992847443,noris_P10
no_ris,15.0,128,0.0005,60,6.58053016281128,0.072,0.014000000074505806,0.065,noris_P15
no_ris,20.0,128,0.0005,60,8.25454468536377,0.008000000037252902,0.0,0.008000000037252902,noris_P20
no_ris,25.0,128,0.0005,60,9.609646133422851,0.0,0.0,0.0,noris_P25
ris,5.0,64,0.0001,40,4.708807205200196,0.02800000002980232,0.02800000002980232,0.0,ris_P5_b64_lr1e-4
ris,10.0,64,0.0001,40,6.583601505279541,0.003,0.002,0.003,ris_P10_b64_lr1e-4
ris,15.0,64,0.0001,40,8.36803475189209,0.001,0.0,0.001,ris_P15_b64_lr1e-4
ris,20.0,64,0.0001,40,9.850884101867676,0.001,0.0,0.001,ris_P20_b64_lr1e-4
ris,25.0,64,0.0001,40,11.217375511169434,0.0,0.0,0.0,ris_P25_b64_lr1e-4
